Num_Acc,dep,lat,long,date,hrmn,atm,mortel
201900033183,56,47.6542000, -2.7489700,2019-12-14,09:10,1,False
201900033184,34,43.5229610,3.9190620,2019-10-05,17:20,1,False
201900033188,3,46.1885011,3.1852195,2019-10-05,15:22,8,False
201900033216,22,48.5453150, -2.5957200,2019-10-05,17:15,1,False
201900033232,54,48.6633970,6.2191490,2019-07-22,21:20,1,False
201900033242,69,45.7521000,4.8466400,2019-10-04,08:55,1,False
201900033247,95,49.0172070,2.1775780,2019-10-03,12:28,1,True
201900033279,49,47.4578400, -0.5445500,2019-10-02,18:41,1,False
201900033280,42,45.3865148,4.3078461,2019-10-04,19:51,1,False
201900033284,37,47.3940000,0.6690000,2019-10-04,05:16,2,False
201900033318,10,48.2960000,4.0394100,2019-10-04,17:04,1,False
201900033332,75,48.8690599,2.4088319,2019-10-04,12:15,8,False
201900033339,75,48.8383398,2.2707986,2019-10-04,18:45,1,False
201900033341,75,48.8208509,2.3555582,2019-10-04,16:15,1,False
201900033354,94,48.8076000,2.4471900,2019-10-04,17:00,1,False
201900033359,94,48.7721070,2.4315810,2019-10-04,19:10,8,False
201900033381,59,50.6131200,3.0750100,2019-06-24,21:23,1,False
201900033385,51,49.2163100,4.0514100,2019-06-24,14:10,1,False
201900033391,49,47.4736100, -0.5309300,2019-06-21,19:32,1,False
201900033441,75,48.8642280,2.3693370,2019-06-24,19:30,1,False
201900033445,75,48.8500150,2.3668720,2019-06-24,14:07,1,False
201900033463,93,48.9434500,2.3570100,2019-06-23,22:45,1,False
201900033468,92,48.9138196,2.2300241,2019-06-22,15:45,1,False
201900033469,92,48.7864200,2.2439700,2019-06-22,14:25,1,False
201900033471,92,48.8505800,2.2362900,2019-06-24,14:35,1,False
201900033476,67,48.2470180,7.3336930,2019-06-19,18:30,1,False
201900033481,62,50.9009210,1.9423960,2019-06-25,07:50,1,True
201900033486,71,46.6629590,5.2192910,2019-06-24,11:45,1,False
201900033487,89,47.9234030,3.6524320,2019-06-25,13:15,1,False
201900033493,39,47.0208570,5.7174310,2019-06-24,08:30,1,False
201900033495,31,43.3556730,1.6228400,2019-06-23,10:40,1,False
201900033497,66,42.4902658,2.8026526,2019-06-19,10:15,1,False
201900033511,91,48.5426770,1.9943760,2019-06-24,17:15,1,False
201900033512,78,48.6795080,1.9452570,2019-06-17,14:20,1,False
201900033522,63,45.8468282,3.0231500,2019-06-25,10:00,1,True
201900033524,38,45.0996620,5.7417870,2019-06-24,09:49,1,False
201900033563,974, -20.9275800,55.2953600,2019-01-21,06:45,1,False
201900033570,91,48.6883310,2.3227500,2019-01-21,08:45,9,False
201900033590,68,47.5936800,7.5811100,2019-01-21,21:30,1,False
201900033601,56,47.7597000, -3.3943600,2019-01-20,08:45,1,False
201900033612,35,48.0698700, -1.7103900,2019-01-21,13:00,1,False
201900033644,75,48.8312710,2.3562640,2019-01-21,20:45,1,False
201900033645,75,48.8185890,2.3524930,2019-01-21,14:20,1,False
201900033648,75,48.8699120,2.3280070,2019-01-21,17:20,1,False
201900033722,30,43.7957080,4.3778180,2019-08-30,18:45,1,False
201900033724,30,43.8328850,4.4301250,2019-09-02,23:20,1,False
201900033731,2,49.2655030,3.0999760,2019-09-03,15:12,1,False
201900033732,26,44.7352780,5.0099190,2019-09-04,08:50,1,False
201900033739,85,46.7845500, -2.0707900,2019-08-31,18:03,1,False
201900033753,91,48.5919140,2.0671080,2019-09-03,19:15,1,False
201900033759,67,48.7524190,7.8476050,2019-09-03,20:50,1,False
201900033763,64,43.2369120, -0.3911960,2019-09-04,14:15,1,False
201900033764,44,47.2877340, -1.4640390,2019-02-20,04:56,1,False
201900033805,76,49.4919900,0.1326800,2019-08-30,14:05,1,False
201900033807,76,49.5242800,0.0968600,2019-08-31,17:30,1,False
201900033811,67,48.5930500,7.6983300,2019-08-31,12:45,1,False
201900033815,64,43.4804000, -1.5281000,2019-08-31,11:45,8,False
201900033822,44,47.2289400, -1.5548400,2019-09-02,18:30,1,False
201900033823,44,47.2723100, -2.3480320,2019-08-28,03:05,1,False
201900033825,35,48.0900400, -1.6909300,2019-08-27,16:00,1,False
201900033828,34,43.5825593,3.9256348,2019-09-02,15:50,1,False
